epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,863.32,0.6775,0.32947,0.92183,0.99593,0.99246,0.99477,0.83986,0.74138,0.31579,0.9377,0.0067726,0.0067726,0.0067726
165,868.074,0.69235,0.33535,0.92516,0.99712,0.99121,0.99476,0.84341,0.70923,0.3064,0.92638,0.0067528,0.0067528,0.0067528
166,872.808,0.69841,0.33996,0.92674,0.99622,0.99233,0.99472,0.83571,0.76586,0.30752,0.942,0.006733,0.006733,0.006733
167,877.613,0.68373,0.33693,0.93056,0.99621,0.99372,0.99482,0.8464,0.73389,0.30566,0.94483,0.0067132,0.0067132,0.0067132
168,882.502,0.68395,0.33252,0.93319,0.99747,0.99233,0.99482,0.84731,0.69572,0.31012,0.94149,0.0066934,0.0066934,0.0066934
169,889.504,0.69391,0.33677,0.93615,0.99742,0.99246,0.99479,0.84317,0.71193,0.30171,0.943,0.0066736,0.0066736,0.0066736
170,896.704,0.68224,0.3375,0.92812,0.99873,0.98962,0.99482,0.83938,0.69999,0.30954,0.93152,0.0066538,0.0066538,0.0066538
171,903.606,0.69382,0.33425,0.93625,0.99696,0.98995,0.9948,0.84086,0.70286,0.30278,0.93862,0.006634,0.006634,0.006634
172,910.344,0.67577,0.3246,0.92853,0.99874,0.99245,0.99479,0.83509,0.80659,0.31061,0.9662,0.0066142,0.0066142,0.0066142
173,917.584,0.69341,0.32998,0.92745,0.99747,0.99219,0.99486,0.83871,0.76762,0.30486,0.95039,0.0065944,0.0065944,0.0065944
174,924.718,0.67516,0.32975,0.91902,0.99864,0.99121,0.99477,0.82377,0.8272,0.32974,0.97932,0.0065746,0.0065746,0.0065746
175,932.118,0.68653,0.33372,0.9246,0.99619,0.99246,0.99473,0.84835,0.67992,0.29752,0.92417,0.0065548,0.0065548,0.0065548
176,939.163,0.67792,0.32806,0.92396,0.99873,0.98985,0.9948,0.85417,0.68237,0.29401,0.92405,0.006535,0.006535,0.006535
177,945.229,0.68568,0.33885,0.92069,0.99732,0.99372,0.99482,0.85522,0.68751,0.29738,0.92709,0.0065152,0.0065152,0.0065152
178,949.98,0.67852,0.3301,0.92468,0.99472,0.98995,0.99456,0.85569,0.66965,0.30016,0.93046,0.0064954,0.0064954,0.0064954
179,954.745,0.69237,0.33918,0.93033,0.99559,0.98995,0.9943,0.84586,0.71536,0.30178,0.93327,0.0064756,0.0064756,0.0064756
180,959.454,0.67707,0.33326,0.91929,0.99873,0.99112,0.99456,0.8395,0.72187,0.2896,0.9321,0.0064558,0.0064558,0.0064558
181,964.622,0.68971,0.32896,0.92252,0.99845,0.99246,0.99472,0.80889,0.81574,0.31598,0.95295,0.006436,0.006436,0.006436
182,969.394,0.67341,0.32111,0.91537,0.99871,0.99121,0.99467,0.83302,0.69348,0.29656,0.92377,0.0064162,0.0064162,0.0064162
183,974.1,0.68371,0.32747,0.92007,0.99604,0.98744,0.99467,0.84938,0.69504,0.30036,0.92316,0.0063964,0.0063964,0.0063964
184,978.807,0.6761,0.32386,0.91828,0.99622,0.99235,0.99464,0.85102,0.68535,0.30145,0.9206,0.0063766,0.0063766,0.0063766
185,983.513,0.67091,0.32348,0.91829,0.99596,0.99246,0.99474,0.84185,0.74731,0.30803,0.93595,0.0063568,0.0063568,0.0063568
186,988.233,0.67201,0.32111,0.9192,0.99498,0.9957,0.99476,0.84384,0.71301,0.30012,0.92768,0.006337,0.006337,0.006337
187,992.953,0.6765,0.32811,0.91598,0.99594,0.99121,0.99466,0.83522,0.73454,0.3184,0.93523,0.0063172,0.0063172,0.0063172
